platform,URL,date_crawl,customer_name,time_comment,content,thank_count
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tuanhoangnguyen6599,2024-03-01T14:34:25Z,"Nhiều người lấn cấn vụ 60hz thì nói thật là mắt nó tự điều tiết theo thôi, mình dùng lap màn 240hz, android 120 hz vs con 15 này 60hz, chuyển giữa 3 thiết bị chẳng có gì khó chịu, mình cảm nhận con iphone nó cũng mượt vậy,  hoặc có thể do mắt mình đã quen, thì đúng là do quen mà thôi, những ai đang dùng 120hz thường xuyên, và xuống 60hz có thể sẽ thấy k quen lúc đầu, nhưng chắc chắn 1-2 ngày sau là hết thôi. Nhưng đúng là 20 củ mà vẫn 60hz thì Apple kẹt xỉn thật !",9
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@sakaiyuu1209,2024-03-01T14:15:05Z,Cái vòng để cầm iphone bằng 1 tay gọn gọi là gì vậy,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@user-xp2uj8wn9x,2024-03-01T13:59:11Z,Mình thì thích bự để pin trâu màn hình to xài đã,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@nhathadongsang94,2024-03-01T13:56:59Z,Vinh nói câu hay quá: Mua máy này làm máy phụ. Làm việc chính.<br>Mình cũng xài máy kiểu Vinh mà không biết gọi nó là máy phụ hay chính. Giờ Vinh nói câu thông não luôn😂,9
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@Kajavau,2024-03-01T13:56:55Z,"120hz về 60hz lướt nội dung khó chịu mắt lắm<br>Màn nhỏ thì đở hơn, màn to thì ối đôi ôi",1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@sacr1sed,2024-03-01T13:31:22Z,"Mình đang xài mi 11 lite 5g ne và iphone Xs, xài song song thì nhận thấy nhu cầu của mình luôn phù hợp vs android. IOS chỉ tiếc với chia đôi màn hình thêm cả app bị đóng băng mỗi khi out ra thấy khá bất tiện",8
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@musouranbu02748,2024-03-01T13:21:19Z,Ngoài thiếu 120hz cả cam không có góc siêu rộng thì còn lại nó quá ngon.,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@thetrungbui9494,2024-03-01T13:15:18Z,"Đúng  a Vinh Xô reviewer hàng đầu vn , cách phân tích trải nghiệm và dẫn dắt câu chuyện rất cuốn , chứ cứ như mấy ông khác nói chuyện cứ rù rù chán muốn chết 😅xem a từ lúc như ông nghiện bên schanel kaka",24
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@HoaLe-xl9rg,2024-03-01T13:14:51Z,vì thừa tiền,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tiendung7457,2024-03-01T13:12:27Z,Mua iphone cũ ở Oneway hoặc là Xt mobile có uy tín không mọi người?,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@sisen6658,2024-03-01T13:12:12Z,Anh giống em mua ip để cái app ngân hàng xài bao sướng,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tiennguyeninh6574,2024-03-01T13:09:22Z,"iphone 15 mình bán hàng fullbox, máy khách dùng 1 tuần - 1 tháng, dùng lướt, tầm 14 triệu, mới cứng 100%, pin 100%, sạc tầm 20-40 lần.<br>Mình nói thật, là tầm tiền đó mua samsung s23 ultra 512gb ăn đứt mọi mặt.<br>Trải nghiệm tệ nhất của iphone, đó là thao tác vuốt tệ hại, ko thể nào so sánh được với android. Ví dụ như khoản back về trang trước.",3
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tuyentraninh6301,2024-03-01T13:04:07Z,Mình dùng 13 thêm combo 2 cục sdp 20000mah 🤣 k lo hết pin kk,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@daophongtv,2024-03-01T13:03:44Z,mjk vẫn dùng xs nhỏ gọn tiện mjk dùng lm máy phụ máy chính 2 con Android,0
