Platform,Date_Crawl,brand,product_name,current_price,discount_price,discount,sold_quanlity,rating_average,rating_count,time_comment,content_cmt,status,color,capacy
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/22/2024,,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/19/2024,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/7/2023,,,Màu Xanh Lá Cây,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/7/2023,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,9/30/2023,,,Hồng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/23/2024,,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/13/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/4/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/19/2023,,,Xanh dương,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/17/2023,,,Màu Xanh Lá Cây,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/17/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/17/2023,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/17/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Màu Xanh Lá Cây,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/31/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/30/2023,,,Xanh dương,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/26/2023,,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/13/2023,,,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/11/2023,,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/29/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/1/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,,,Màu Xanh Lá Cây,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/13/2023,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/28/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/16/2023,,,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/5/2023,,,Xanh dương,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/14/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/22/2023,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/15/2023,,,,
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/15/2023,,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/1/2023,,,Hồng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/1/2023,,,Xanh dương,128GB
